
SCORE,POINT_AVERAGE
41714, 12.4
41664, 12.52
41760, 12.54
41685, 12.74
41693, 12.83
41670, 12.91
41764, 143
41764, 133
1714, 2.4
1664, 2.52
1760, 2.54
1685, 2.74
1693, 2.83
1670, 2.91
1764, 3
1764, 32
SCORE,POINT_AVERAGE
41714, 12.4
41664, 12.52
41760, 12.54
41685, 12.74
41693, 12.83
41670, 12.91
41764, 143
41764, 133
1714, 2.4
1664, 2.52
1760, 2.54
1685, 2.74
1693, 2.83
1670, 2.91
1764, 3
1764, 32
SCORE,POINT_AVERAGE
41714, 12.4
41664, 12.52
41760, 12.54
41685, 12.74
41693, 12.83
41670, 12.91
41764, 143
41764, 133
1714, 2.4
1664, 2.52
1760, 2.54
1685, 2.74
1693, 2.83
1670, 2.91
1764, 3
1764, 32
SCORE,POINT_AVERAGE
41714, 12.4
41664, 12.52
41760, 12.54
41685, 12.74
41693, 12.83
41670, 12.91
41764, 143
41764, 133
1714, 2.4
1664, 2.52
1760, 2.54
1685, 2.74
1693, 2.83
1670, 2.91
1764, 3
1764, 32
